event_id,timestamp,player_name,player_id,team_name,event_type,x,y,period,minute
0aa754b7-2852-46b1-a61a-4e4ead196ce2,00:00:00.332,Yoshinori Muto,6337,FSV Mainz 05,Pass,60.0,40.0,1,0
9ad96868-60e0-4b6d-a942-823af334a828,00:00:00.904,Yunus Mallı,8679,FSV Mainz 05,Ball Receipt*,61.1,37.0,1,0
1f89312b-0d0a-4b95-aaf0-73265f0ce12f,00:00:00.904,Yunus Mallı,8679,FSV Mainz 05,Carry,61.1,37.0,1,0
81ec69cc-99c3-459b-9571-cf36009f0961,00:00:01.211,Manuel Schmiedebach,8543,Hannover 96,Pressure,55.9,44.0,1,0
71ac39ad-aa97-4154-bb50-807e9ef7a284,00:00:01.719,Yunus Mallı,8679,FSV Mainz 05,Pass,61.9,35.5,1,0
73fb15e8-0f64-4144-8fe6-d1d1187a7be5,00:00:02.413,Uffe Manich Bech,24244,Hannover 96,Pressure,49.2,50.4,1,0
47efcf50-31b6-4c89-9a86-65713322b129,00:00:02.568,Jairo Samperio Bustara,6925,FSV Mainz 05,Ball Receipt*,69.1,31.0,1,0
1ea5febd-0004-42a2-98bf-109b61ca56d1,00:00:02.568,Jairo Samperio Bustara,6925,FSV Mainz 05,Carry,69.1,31.0,1,0
b90ff831-4565-42a0-b549-b9135042888f,00:00:04.875,Jairo Samperio Bustara,6925,FSV Mainz 05,Pass,63.3,40.5,1,0
cfb3933d-86a8-4ab4-b356-733b71df5449,00:00:06.930,Leon Aderemi Balogun,5467,FSV Mainz 05,Ball Receipt*,63.1,63.0,1,0
f555507e-d60a-416c-b6af-4ba899a0eaa6,00:00:06.930,Leon Aderemi Balogun,5467,FSV Mainz 05,Carry,63.1,63.0,1,0
6853d672-d518-4407-92d2-b01bde6d8efb,00:00:08.232,Leon Aderemi Balogun,5467,FSV Mainz 05,Pass,54.0,61.1,1,0
509da3da-aa34-4613-b25e-820092eeabc9,00:00:10.410,Niko Bungert,13319,FSV Mainz 05,Ball Receipt*,31.8,45.4,1,0
760241a8-40d5-4802-b019-975078a9812f,00:00:10.410,Niko Bungert,13319,FSV Mainz 05,Carry,31.8,45.4,1,0
7f414336-8d07-4f0e-9167-4fa7fdf2b097,00:00:10.664,Niko Bungert,13319,FSV Mainz 05,Pass,33.6,44.8,1,0
a5c5116d-f690-45da-b8c8-33d1255e2ccd,00:00:12.977,Loris Karius,3630,FSV Mainz 05,Ball Receipt*,9.5,39.7,1,0
550e1d30-2fe3-4a7f-a4c9-6a047797ee2c,00:00:12.977,Loris Karius,3630,FSV Mainz 05,Carry,9.5,39.7,1,0
c0d9dc8c-a956-40a0-9250-c67f6f7bdafb,00:00:14.082,Loris Karius,3630,FSV Mainz 05,Pass,10.1,39.9,1,0
ab718a7d-bd6f-46a8-9998-4c194574f475,00:00:16.338,Niko Bungert,13319,FSV Mainz 05,Ball Receipt*,27.1,52.9,1,0
fb138f37-b8bb-49d1-878a-76e2fe533890,00:00:16.338,Niko Bungert,13319,FSV Mainz 05,Carry,27.1,52.9,1,0
ec526965-5752-4d29-a934-6f79557d005f,00:00:18.415,Niko Bungert,13319,FSV Mainz 05,Pass,28.5,53.2,1,0
edea7cf6-df2e-4eb3-8154-e02d139dddc8,00:00:20.570,Stefan Bell,8559,FSV Mainz 05,Ball Receipt*,27.1,18.9,1,0
374b7024-519c-4c8f-8eae-15bc2bef5446,00:00:20.570,Stefan Bell,8559,FSV Mainz 05,Carry,27.1,18.9,1,0
63377a13-4cdd-44d7-9271-6ad7d7b56bbe,00:00:23.653,Stefan Bell,8559,FSV Mainz 05,Pass,34.8,16.5,1,0
5878249c-3854-42d0-9e5f-67283a012906,00:00:25.196,Fabian Frei,8561,FSV Mainz 05,Ball Receipt*,57.4,10.3,1,0
e2a9acef-6409-4bae-8b1e-d04176c1e529,00:00:25.196,Fabian Frei,8561,FSV Mainz 05,Carry,57.4,10.3,1,0
0b92300b-8e7d-4281-b6bf-c639358cc001,00:00:25.236,Fabian Frei,8561,FSV Mainz 05,Miscontrol,56.6,9.9,1,0
1913b72c-22e4-4cba-bc54-32221c6d4f46,00:00:26.242,Uffe Manich Bech,24244,Hannover 96,Pressure,58.1,73.3,1,0
dae0fa79-4182-4ae4-af32-bad40afbc5a5,00:00:26.434,Jairo Samperio Bustara,6925,FSV Mainz 05,Pass,65.2,5.9,1,0
08d968ce-3c02-48e6-9310-a2cb021582b3,00:00:26.630,Pierre Bengtsson,20871,FSV Mainz 05,Ball Receipt*,50.5,3.3,1,0
a04ad296-f005-489d-be92-ab8d6066d4f3,00:00:26.630,Uffe Manich Bech,24244,Hannover 96,Block,58.2,73.8,1,0
e20b8261-1570-4d23-81d1-801e98299998,00:00:35.724,Pierre Bengtsson,20871,FSV Mainz 05,Pass,68.8,0.1,1,0
d9276873-efa4-40dc-b515-bcc8327599a2,00:00:37.585,Stefan Bell,8559,FSV Mainz 05,Ball Receipt*,40.3,3.2,1,0
2428f7bc-6fa5-41d7-ae02-420af1d73277,00:00:37.585,Stefan Bell,8559,FSV Mainz 05,Carry,40.3,3.2,1,0
b55ecf6c-d5d1-4625-bbb9-b04ad034ec0b,00:00:39.646,Stefan Bell,8559,FSV Mainz 05,Pass,35.7,4.3,1,0
c5035847-24d0-46ea-896f-1eb299ea6807,00:00:42.263,Edgar Prib,24914,Hannover 96,Pressure,85.1,37.3,1,0
1f8c3c1a-fb4e-431a-a264-833a2a1c2fda,00:00:42.531,Niko Bungert,13319,FSV Mainz 05,Ball Receipt*,33.2,42.6,1,0
911de517-4d25-4f01-826a-560cdeb0ecfa,00:00:42.531,Niko Bungert,13319,FSV Mainz 05,Carry,33.2,42.6,1,0
70c94cdb-4d67-49f2-ba88-b34bab775276,00:00:42.816,Niko Bungert,13319,FSV Mainz 05,Pass,33.8,43.6,1,0
7e7fc796-7d42-4486-b80f-67a6b63eb243,00:00:44.476,Leon Aderemi Balogun,5467,FSV Mainz 05,Ball Receipt*,34.0,74.4,1,0
1cf79083-22f3-4cb8-8189-b2d18f0cca77,00:00:44.476,Leon Aderemi Balogun,5467,FSV Mainz 05,Carry,34.0,74.4,1,0
51bdd8a3-65a3-4e9b-aefd-067c04607504,00:00:45.634,Leon Aderemi Balogun,5467,FSV Mainz 05,Pass,33.2,75.2,1,0
40623dbc-cb95-43f8-9df9-b4d5f13cce85,00:00:58.401,Oliver Sorg,12316,Hannover 96,Pass,72.4,0.1,1,0
5ce8e26f-6a25-417c-9029-4db55f4ea1cd,00:01:00.532,Felix Klaus,8551,Hannover 96,Ball Receipt*,98.7,8.2,1,1
e7a156b6-c0eb-4e7e-b904-61a55725797e,00:01:00.532,Niko Bungert,13319,FSV Mainz 05,Pass,13.2,69.1,1,1
bd12b0f8-45d0-41b2-a14a-2aa52b88fe69,00:01:01.659,Christian Clemens,9098,FSV Mainz 05,Ball Receipt*,27.1,72.8,1,1
cfa6efed-891f-4d9e-a527-1c6f64ee7c34,00:01:01.659,Christian Clemens,9098,FSV Mainz 05,Pass,29.3,71.5,1,1
897e6ad2-4715-48f1-99ce-1ad667875e7b,00:01:02.716,Oliver Sorg,12316,Hannover 96,Pressure,82.8,12.0,1,1
97045c78-db01-4820-8590-e8b0b5a30e77,00:01:03.294,Yunus Mallı,8679,FSV Mainz 05,Ball Receipt*,35.5,67.7,1,1
fb4474d2-5f6e-410a-bcd6-d324c4339932,00:01:04.512,Edgar Prib,24914,Hannover 96,Pressure,85.1,14.7,1,1
901f81cd-259f-4bb9-9588-d5cf0104c850,00:01:04.619,Yunus Mallı,8679,FSV Mainz 05,Pass,34.8,65.0,1,1
70c78c7b-d607-4f50-9540-fccc666e9055,00:01:06.735,Julian Baumgartlinger,20037,FSV Mainz 05,Ball Receipt*,31.5,61.3,1,1
56b57864-69f0-427d-ab86-7a81c5cc71ef,00:01:06.735,Julian Baumgartlinger,20037,FSV Mainz 05,Carry,31.5,61.3,1,1
fb5e7ba2-cf43-4f00-be98-fecd5e2bfbb6,00:01:06.813,Charlison Benschop,8558,Hannover 96,Ball Recovery,86.5,18.4,1,1
0cf32f21-4812-42d5-afb4-f5d318c39269,00:01:06.969,Julian Baumgartlinger,20037,FSV Mainz 05,Pass,31.8,61.3,1,1
80676e56-23fc-48d7-8b59-9bcfc333c704,00:01:07.566,Yunus Mallı,8679,FSV Mainz 05,Ball Receipt*,34.0,62.2,1,1
a1d4f330-ce2d-4714-bc57-07cfb179bf50,00:01:07.566,Yunus Mallı,8679,FSV Mainz 05,Carry,34.0,62.2,1,1
7959787e-3372-4588-8b5b-3a8ad588d86b,00:01:07.764,Manuel Schmiedebach,8543,Hannover 96,Pressure,83.1,17.9,1,1
28753b6f-db27-4f93-9f04-f5e2eb5646d4,00:01:08.321,Yunus Mallı,8679,FSV Mainz 05,Pass,36.4,63.8,1,1
93c167fb-23f8-4457-ba27-812ab81e0222,00:01:09.173,Christian Clemens,9098,FSV Mainz 05,Ball Receipt*,44.6,72.5,1,1
0aeafb8f-ca89-44be-a027-e833a7815daa,00:01:09.173,Christian Clemens,9098,FSV Mainz 05,Carry,44.6,72.5,1,1
3e8d163a-fbf9-48cb-bd9a-ce56511aa755,00:01:09.968,Oliver Sorg,12316,Hannover 96,Pressure,71.2,8.0,1,1
68a0b767-3db5-4343-938f-50c8d55638aa,00:01:10.387,Christian Clemens,9098,FSV Mainz 05,Pass,50.5,74.3,1,1
cf8ebb4a-bbc6-42d0-ad6a-a4770d450854,00:01:12.126,Yoshinori Muto,6337,FSV Mainz 05,Ball Receipt*,72.6,63.3,1,1
988ec0ab-9a65-4b14-abec-c7180e5b25ed,00:01:12.126,Yoshinori Muto,6337,FSV Mainz 05,Carry,72.6,63.3,1,1
793775e7-8548-48de-b8a5-9e4482d22755,00:01:19.629,Yoshinori Muto,6337,FSV Mainz 05,Pass,99.9,73.4,1,1
8f57d2fe-f7bb-4f85-82f1-a835f0c18327,00:01:20.357,Christian Clemens,9098,FSV Mainz 05,Ball Receipt*,95.5,67.3,1,1
84f5d2c4-6a89-4b54-8233-76c5b79ac2ff,00:01:20.357,Christian Clemens,9098,FSV Mainz 05,Carry,95.5,67.3,1,1
0217e0c3-d845-48e8-942e-0060a237062f,00:01:20.477,Christian Clemens,9098,FSV Mainz 05,Pass,95.1,67.5,1,1
67c8f1cb-e1e8-443d-9813-6454b7b9116e,00:01:21.992,Leon Aderemi Balogun,5467,FSV Mainz 05,Ball Receipt*,92.9,76.8,1,1
c0405831-f764-4b91-a28e-923c47a1ce3d,00:01:37.025,Oliver Sorg,12316,Hannover 96,Pass,32.3,0.1,1,1
c0a73657-d026-44d8-ba70-31063f055cb2,00:01:38.913,Leon Aderemi Balogun,5467,FSV Mainz 05,Pressure,50.7,74.8,1,1
9215791f-b33d-4743-b6c5-892de268c2d9,00:01:40.760,Edgar Prib,24914,Hannover 96,Ball Receipt*,71.8,4.1,1,1
123723c7-f96d-4f2e-952c-dfef86e14cf1,00:01:40.760,Edgar Prib,24914,Hannover 96,Carry,71.8,4.1,1,1
d64991cd-dac9-4df5-93ad-361278e714f1,00:01:42.458,Julian Baumgartlinger,20037,FSV Mainz 05,Pressure,44.8,69.9,1,1
089795f5-993e-4688-84be-6aa08150cf14,00:01:43.461,Leon Aderemi Balogun,5467,FSV Mainz 05,Foul Committed,43.2,68.6,1,1
f1fc0507-bf12-499c-af61-7fb18262f149,00:01:43.461,Edgar Prib,24914,Hannover 96,Foul Won,76.9,11.5,1,1
79e69634-24d7-4ced-8d9b-5c7f905de672,00:01:54.453,Edgar Prib,24914,Hannover 96,Pass,76.9,12.2,1,1
46115ef5-74f0-41a4-90a1-e136304e0df1,00:01:55.741,Salif Sané,5664,Hannover 96,Ball Receipt*,71.6,14.9,1,1
c7409d61-f15b-41a7-804a-ad7e1e6279b5,00:01:55.741,Salif Sané,5664,Hannover 96,Carry,71.6,14.9,1,1
8fe3d3c3-43ae-4526-a5fa-4905997033c6,00:01:57.249,Salif Sané,5664,Hannover 96,Pass,71.0,24.5,1,1
0ac20779-84af-4c70-b8e8-8a1010346a85,00:01:58.915,Marcelo Antônio Guedes Filho,3164,Hannover 96,Ball Receipt*,57.2,47.1,1,1
88fea6d8-9e46-4938-9ffb-856d8d8a8e1b,00:01:58.915,Marcelo Antônio Guedes Filho,3164,Hannover 96,Carry,57.2,47.1,1,1
d94c1290-e0f7-4de8-a042-ef8f4d6fe3d5,00:01:59.711,Yoshinori Muto,6337,FSV Mainz 05,Pressure,60.9,30.4,1,1
ef2b0ab3-e2f7-4fb4-888b-0c6551b589f0,00:01:59.984,Marcelo Antônio Guedes Filho,3164,Hannover 96,Pass,56.1,51.6,1,1
8b19f65b-f189-495a-8a8e-9cd12cedb647,00:02:01.534,Hiroki Sakai,3530,Hannover 96,Ball Receipt*,63.7,76.6,1,2
ad921ff3-7d3b-4f65-8945-71c78fb97d67,00:02:01.534,Hiroki Sakai,3530,Hannover 96,Carry,63.7,76.6,1,2
63cdc541-bda2-4e91-b2d0-2b4f741dd158,00:02:02.342,Hiroki Sakai,3530,Hannover 96,Pass,64.5,75.8,1,2
289365c6-85a1-4050-b684-7d0a17bb05ac,00:02:05.603,Charlison Benschop,8558,Hannover 96,Ball Receipt*,111.6,57.7,1,2
a0cc4d10-532d-4c61-adf1-9371af992935,00:02:05.603,Loris Karius,3630,FSV Mainz 05,Ball Recovery,2.6,22.9,1,2
a68975d1-d898-4d7f-aa59-db52ea16a52e,00:02:05.603,Loris Karius,3630,FSV Mainz 05,Carry,2.6,22.9,1,2
4c9585ba-d930-4202-b7a5-a0311436250c,00:02:11.554,Loris Karius,3630,FSV Mainz 05,Pass,9.2,27.3,1,2
10536112-3596-4ddf-8ef4-811f4fd66ae3,00:02:13.214,Niko Bungert,13319,FSV Mainz 05,Ball Receipt*,17.5,53.6,1,2
99090013-f83c-46b1-ab7c-aeaeb3ca118a,00:02:13.214,Niko Bungert,13319,FSV Mainz 05,Carry,17.5,53.6,1,2
1a7a718c-e605-4351-bf6b-8a89b06761fc,00:02:13.931,Niko Bungert,13319,FSV Mainz 05,Pass,18.7,54.9,1,2
4ef61f6b-b8cc-4104-adf0-8e5420043a14,00:02:15.065,Julian Baumgartlinger,20037,FSV Mainz 05,Ball Receipt*,29.3,47.9,1,2
732df034-de3c-4764-ab7f-edfbbd01ac7d,00:02:15.065,Julian Baumgartlinger,20037,FSV Mainz 05,Carry,29.3,47.9,1,2
1314f9c7-0eee-4ff0-8253-2d20b9b13f50,00:02:15.762,Charlison Benschop,8558,Hannover 96,Pressure,91.2,34.9,1,2
f893cf6e-eb3e-4b02-8af0-3792eef7ce36,00:02:15.863,Julian Baumgartlinger,20037,FSV Mainz 05,Pass,29.3,49.3,1,2
10fa1d55-458a-4c34-9264-19e98afe13f5,00:02:17.599,Niko Bungert,13319,FSV Mainz 05,Ball Receipt*,19.4,57.7,1,2
6ef77123-8cfa-4992-a8be-59dd11071e92,00:02:17.599,Niko Bungert,13319,FSV Mainz 05,Carry,19.4,57.7,1,2
43c81ad7-15d8-422c-811a-ae0434ed8d47,00:02:18.171,Niko Bungert,13319,FSV Mainz 05,Pass,19.8,58.2,1,2
4806fb06-21a0-4903-87b7-68ae9e77fc86,00:02:19.568,Julian Baumgartlinger,20037,FSV Mainz 05,Ball Receipt*,27.1,47.4,1,2
4570d465-f9cc-4418-9a32-787d677e2d76,00:02:19.568,Julian Baumgartlinger,20037,FSV Mainz 05,Carry,27.1,47.4,1,2
