player_id,player_name,team_name,jersey_number,position
3016,Allan Saint-Maximin,Hannover 96,14,Right Center Forward
3164,Marcelo Antônio Guedes Filho,Hannover 96,25,Right Center Back
3530,Hiroki Sakai,Hannover 96,4,Right Back
5664,Salif Sané,Hannover 96,5,Center Defensive Midfield
8541,Kenan Karaman,Hannover 96,26,Right Midfield
8542,Felipe Trevizan Martins,Hannover 96,20,Unknown
8543,Manuel Schmiedebach,Hannover 96,8,Right Center Midfield
8544,Philipp Tschauner,Hannover 96,13,Unknown
8551,Felix Klaus,Hannover 96,11,Left Midfield
8558,Charlison Benschop,Hannover 96,35,Center Forward
8947,Ron-Robert Zieler,Hannover 96,1,Goalkeeper
11845,Artur Sobiech,Hannover 96,9,Left Center Forward
12316,Oliver Sorg,Hannover 96,29,Left Back
13126,Miiko Martín Albornoz Inola,Hannover 96,3,Unknown
24244,Uffe Manich Bech,Hannover 96,17,Right Midfield
24914,Edgar Prib,Hannover 96,7,Left Center Midfield
400613,Leon Andreasen,Hannover 96,2,Unknown
400614,Christian Schulz,Hannover 96,19,Left Center Back
3630,Loris Karius,FSV Mainz 05,1,Goalkeeper
5467,Leon Aderemi Balogun,FSV Mainz 05,3,Right Back
5627,Ja-Cheol Koo,FSV Mainz 05,13,Unknown
6337,Yoshinori Muto,FSV Mainz 05,9,Left Center Forward
6925,Jairo Samperio Bustara,FSV Mainz 05,17,Left Midfield
8539,Danny Latza,FSV Mainz 05,6,Left Defensive Midfield
8548,Daniel Brosinski,FSV Mainz 05,18,Right Back
8559,Stefan Bell,FSV Mainz 05,16,Left Center Back
8561,Fabian Frei,FSV Mainz 05,20,Left Defensive Midfield
8679,Yunus Mallı,FSV Mainz 05,10,Right Center Forward
8890,Christoph Moritz,FSV Mainz 05,8,Unknown
8943,Florian Niederlechner,FSV Mainz 05,31,Left Center Forward
9098,Christian Clemens,FSV Mainz 05,27,Right Midfield
13319,Niko Bungert,FSV Mainz 05,26,Right Center Back
20037,Julian Baumgartlinger,FSV Mainz 05,14,Right Defensive Midfield
20871,Pierre Bengtsson,FSV Mainz 05,7,Left Back
26692,Henrique Sereno Fonseca,FSV Mainz 05,5,Unknown
30363,Jannik Huth,FSV Mainz 05,33,Unknown
